,League,Year,Date,Time,H_Code,H_Team,A_Code,A_Team,H_Goals,A_Goals,Result
0,epl,2013,17/08/13,,ARS,Arsenal,AVL,Aston Villa,1,3,A
1,epl,2013,17/08/13,,LIV,Liverpool,STK,Stoke,1,0,H
2,epl,2013,17/08/13,,NOR,Norwich,EVE,Everton,2,2,D
3,epl,2013,17/08/13,,SUN,Sunderland,FUL,Fulham,0,1,A
4,epl,2013,17/08/13,,SWA,Swansea,MAN,Man United,1,4,A
5,epl,2013,17/08/13,,WBA,West Brom,SOU,Southampton,0,1,A
6,epl,2013,17/08/13,,WHU,West Ham,CAR,Cardiff,2,0,H
7,epl,2013,18/08/13,,CHE,Chelsea,HUL,Hull,2,0,H
8,epl,2013,18/08/13,,CRY,Crystal Palace,TOT,Tottenham,0,1,A
9,epl,2013,19/08/13,,MNC,Man City,NEW,Newcastle,4,0,H
10,epl,2013,21/08/13,,CHE,Chelsea,AVL,Aston Villa,2,1,H
11,epl,2013,24/08/13,,AVL,Aston Villa,LIV,Liverpool,0,1,A
12,epl,2013,24/08/13,,EVE,Everton,WBA,West Brom,0,0,D
13,epl,2013,24/08/13,,FUL,Fulham,ARS,Arsenal,1,3,A
14,epl,2013,24/08/13,,HUL,Hull,NOR,Norwich,1,0,H
15,epl,2013,24/08/13,,NEW,Newcastle,WHU,West Ham,0,0,D
16,epl,2013,24/08/13,,SOU,Southampton,SUN,Sunderland,1,1,D
17,epl,2013,24/08/13,,STK,Stoke,CRY,Crystal Palace,2,1,H
18,epl,2013,25/08/13,,CAR,Cardiff,MNC,Man City,3,2,H
19,epl,2013,25/08/13,,TOT,Tottenham,SWA,Swansea,1,0,H
20,epl,2013,26/08/13,,MAN,Man United,CHE,Chelsea,0,0,D
21,epl,2013,31/08/13,,CAR,Cardiff,EVE,Everton,0,0,D
22,epl,2013,31/08/13,,CRY,Crystal Palace,SUN,Sunderland,3,1,H
23,epl,2013,31/08/13,,MNC,Man City,HUL,Hull,2,0,H
24,epl,2013,31/08/13,,NEW,Newcastle,FUL,Fulham,1,0,H
25,epl,2013,31/08/13,,NOR,Norwich,SOU,Southampton,1,0,H
26,epl,2013,31/08/13,,WHU,West Ham,STK,Stoke,0,1,A
27,epl,2013,01/09/13,,ARS,Arsenal,TOT,Tottenham,1,0,H
28,epl,2013,01/09/13,,LIV,Liverpool,MAN,Man United,1,0,H
29,epl,2013,01/09/13,,WBA,West Brom,SWA,Swansea,0,2,A
30,epl,2013,14/09/13,,AVL,Aston Villa,NEW,Newcastle,1,2,A
31,epl,2013,14/09/13,,EVE,Everton,CHE,Chelsea,1,0,H
32,epl,2013,14/09/13,,FUL,Fulham,WBA,West Brom,1,1,D
33,epl,2013,14/09/13,,HUL,Hull,CAR,Cardiff,1,1,D
34,epl,2013,14/09/13,,MAN,Man United,CRY,Crystal Palace,2,0,H
35,epl,2013,14/09/13,,STK,Stoke,MNC,Man City,0,0,D
36,epl,2013,14/09/13,,SUN,Sunderland,ARS,Arsenal,1,3,A
37,epl,2013,14/09/13,,TOT,Tottenham,NOR,Norwich,2,0,H
38,epl,2013,15/09/13,,SOU,Southampton,WHU,West Ham,0,0,D
39,epl,2013,16/09/13,,SWA,Swansea,LIV,Liverpool,2,2,D
40,epl,2013,21/09/13,,CHE,Chelsea,FUL,Fulham,2,0,H
41,epl,2013,21/09/13,,LIV,Liverpool,SOU,Southampton,0,1,A
42,epl,2013,21/09/13,,NEW,Newcastle,HUL,Hull,2,3,A
43,epl,2013,21/09/13,,NOR,Norwich,AVL,Aston Villa,0,1,A
44,epl,2013,21/09/13,,WBA,West Brom,SUN,Sunderland,3,0,H
45,epl,2013,21/09/13,,WHU,West Ham,EVE,Everton,2,3,A
46,epl,2013,22/09/13,,ARS,Arsenal,STK,Stoke,3,1,H
47,epl,2013,22/09/13,,CAR,Cardiff,TOT,Tottenham,0,1,A
48,epl,2013,22/09/13,,CRY,Crystal Palace,SWA,Swansea,0,2,A
49,epl,2013,22/09/13,,MNC,Man City,MAN,Man United,4,1,H
50,epl,2013,28/09/13,,AVL,Aston Villa,MNC,Man City,3,2,H
51,epl,2013,28/09/13,,FUL,Fulham,CAR,Cardiff,1,2,A
52,epl,2013,28/09/13,,HUL,Hull,WHU,West Ham,1,0,H
53,epl,2013,28/09/13,,MAN,Man United,WBA,West Brom,1,2,A
54,epl,2013,28/09/13,,SOU,Southampton,CRY,Crystal Palace,2,0,H
55,epl,2013,28/09/13,,SWA,Swansea,ARS,Arsenal,1,2,A
56,epl,2013,28/09/13,,TOT,Tottenham,CHE,Chelsea,1,1,D
57,epl,2013,29/09/13,,STK,Stoke,NOR,Norwich,0,1,A
58,epl,2013,29/09/13,,SUN,Sunderland,LIV,Liverpool,1,3,A
59,epl,2013,30/09/13,,EVE,Everton,NEW,Newcastle,3,2,H
60,epl,2013,05/10/13,,CAR,Cardiff,NEW,Newcastle,1,2,A
61,epl,2013,05/10/13,,FUL,Fulham,STK,Stoke,1,0,H
62,epl,2013,05/10/13,,HUL,Hull,AVL,Aston Villa,0,0,D
63,epl,2013,05/10/13,,LIV,Liverpool,CRY,Crystal Palace,3,1,H
64,epl,2013,05/10/13,,MNC,Man City,EVE,Everton,3,1,H
65,epl,2013,05/10/13,,SUN,Sunderland,MAN,Man United,1,2,A
66,epl,2013,06/10/13,,NOR,Norwich,CHE,Chelsea,1,3,A
67,epl,2013,06/10/13,,SOU,Southampton,SWA,Swansea,2,0,H
68,epl,2013,06/10/13,,TOT,Tottenham,WHU,West Ham,0,3,A
69,epl,2013,06/10/13,,WBA,West Brom,ARS,Arsenal,1,1,D
70,epl,2013,19/10/13,,ARS,Arsenal,NOR,Norwich,4,1,H
71,epl,2013,19/10/13,,CHE,Chelsea,CAR,Cardiff,4,1,H
72,epl,2013,19/10/13,,EVE,Everton,HUL,Hull,2,1,H
73,epl,2013,19/10/13,,MAN,Man United,SOU,Southampton,1,1,D
74,epl,2013,19/10/13,,NEW,Newcastle,LIV,Liverpool,2,2,D
75,epl,2013,19/10/13,,STK,Stoke,WBA,West Brom,0,0,D
76,epl,2013,19/10/13,,SWA,Swansea,SUN,Sunderland,4,0,H
77,epl,2013,19/10/13,,WHU,West Ham,MNC,Man City,1,3,A
78,epl,2013,20/10/13,,AVL,Aston Villa,TOT,Tottenham,0,2,A
79,epl,2013,21/10/13,,CRY,Crystal Palace,FUL,Fulham,1,4,A
80,epl,2013,26/10/13,,AVL,Aston Villa,EVE,Everton,0,2,A
81,epl,2013,26/10/13,,CRY,Crystal Palace,ARS,Arsenal,0,2,A
82,epl,2013,26/10/13,,LIV,Liverpool,WBA,West Brom,4,1,H
83,epl,2013,26/10/13,,MAN,Man United,STK,Stoke,3,2,H
84,epl,2013,26/10/13,,NOR,Norwich,CAR,Cardiff,0,0,D
85,epl,2013,26/10/13,,SOU,Southampton,FUL,Fulham,2,0,H
86,epl,2013,27/10/13,,CHE,Chelsea,MNC,Man City,2,1,H
87,epl,2013,27/10/13,,SUN,Sunderland,NEW,Newcastle,2,1,H
88,epl,2013,27/10/13,,SWA,Swansea,WHU,West Ham,0,0,D
89,epl,2013,27/10/13,,TOT,Tottenham,HUL,Hull,1,0,H
90,epl,2013,02/11/13,,ARS,Arsenal,LIV,Liverpool,2,0,H
91,epl,2013,02/11/13,,FUL,Fulham,MAN,Man United,1,3,A
92,epl,2013,02/11/13,,HUL,Hull,SUN,Sunderland,1,0,H
93,epl,2013,02/11/13,,MNC,Man City,NOR,Norwich,7,0,H
94,epl,2013,02/11/13,,NEW,Newcastle,CHE,Chelsea,2,0,H
95,epl,2013,02/11/13,,STK,Stoke,SOU,Southampton,1,1,D
96,epl,2013,02/11/13,,WBA,West Brom,CRY,Crystal Palace,2,0,H
97,epl,2013,02/11/13,,WHU,West Ham,AVL,Aston Villa,0,0,D
98,epl,2013,03/11/13,,CAR,Cardiff,SWA,Swansea,1,0,H
99,epl,2013,03/11/13,,EVE,Everton,TOT,Tottenham,0,0,D
100,epl,2013,09/11/13,,AVL,Aston Villa,CAR,Cardiff,2,0,H
101,epl,2013,09/11/13,,CHE,Chelsea,WBA,West Brom,2,2,D
102,epl,2013,09/11/13,,CRY,Crystal Palace,EVE,Everton,0,0,D
103,epl,2013,09/11/13,,LIV,Liverpool,FUL,Fulham,4,0,H
104,epl,2013,09/11/13,,NOR,Norwich,WHU,West Ham,3,1,H
105,epl,2013,09/11/13,,SOU,Southampton,HUL,Hull,4,1,H
106,epl,2013,10/11/13,,MAN,Man United,ARS,Arsenal,1,0,H
107,epl,2013,10/11/13,,SUN,Sunderland,MNC,Man City,1,0,H
108,epl,2013,10/11/13,,SWA,Swansea,STK,Stoke,3,3,D
109,epl,2013,10/11/13,,TOT,Tottenham,NEW,Newcastle,0,1,A
110,epl,2013,23/11/13,,ARS,Arsenal,SOU,Southampton,2,0,H
