Season,DateTime,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,Arsenal,Aston Villa,1,3,A,1,1,D
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,Liverpool,Stoke,1,0,H,1,0,H
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,Norwich,Everton,2,2,D,0,0,D
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,Sunderland,Fulham,0,1,A,0,0,D
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,Swansea,Man United,1,4,A,0,2,A
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,West Brom,Southampton,0,1,A,0,0,D
2013-14,2013-08-17T00:00:00Z,17/08/2013,00:00:00,West Ham,Cardiff,2,0,H,1,0,H
2013-14,2013-08-18T00:00:00Z,18/08/2013,00:00:00,Chelsea,Hull,2,0,H,2,0,H
2013-14,2013-08-18T00:00:00Z,18/08/2013,00:00:00,Crystal Palace,Tottenham,0,1,A,0,0,D
2013-14,2013-08-19T00:00:00Z,19/08/2013,00:00:00,Man City,Newcastle,4,0,H,2,0,H
2013-14,2013-08-21T00:00:00Z,21/08/2013,00:00:00,Chelsea,Aston Villa,2,1,H,1,1,D
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Aston Villa,Liverpool,0,1,A,0,1,A
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Everton,West Brom,0,0,D,0,0,D
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Fulham,Arsenal,1,3,A,0,2,A
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Hull,Norwich,1,0,H,1,0,H
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Newcastle,West Ham,0,0,D,0,0,D
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Southampton,Sunderland,1,1,D,0,1,A
2013-14,2013-08-24T00:00:00Z,24/08/2013,00:00:00,Stoke,Crystal Palace,2,1,H,0,1,A
2013-14,2013-08-25T00:00:00Z,25/08/2013,00:00:00,Cardiff,Man City,3,2,H,0,0,D
2013-14,2013-08-25T00:00:00Z,25/08/2013,00:00:00,Tottenham,Swansea,1,0,H,0,0,D
2013-14,2013-08-26T00:00:00Z,26/08/2013,00:00:00,Man United,Chelsea,0,0,D,0,0,D
