League,Year,Team,Code,Position,Avg_Salary_GBP,Avg_Salary_USD
nba,2019,Portland Trail Blazers,POR,1,8031862,10039828
nba,2019,Golden State Warriors,GS,2,7937513,9921892
nba,2019,Orlando Magic,ORL,3,7580606,9475757
nba,2019,Oklahoma City Thunder,OKC,4,7545658,9432072
nba,2019,Denver Nuggets,DEN,5,7449554,9311943
nba,2019,Miami Heat,MIA,6,7438863,9298579
nba,2019,Cleveland Cavaliers,CLE,7,7365725,9207157
nba,2019,Houston Rockets,HOU,8,7328490,9160612
nba,2019,Los Angeles Clippers,LAC,9,6935044,8668805
nba,2019,Philadelphia 76ers,PHI,10,6897440,8621800
nba,2019,Washington Wizards,WSH,11,6800264,8500330
nba,2019,Detroit Pistons,DET,12,6779675,8474594
nba,2019,Charlotte Hornets,CHA,13,6625909,8282386
nba,2019,Minnesota Timberwolves,MIN,14,6617213,8271517
nba,2019,Milwaukee Bucks,MIL,15,6534807,8168508
nba,2019,Toronto Raptors,TOR,16,6520233,8150291
nba,2019,Brooklyn Nets,BKN,17,6429059,8036324
nba,2019,Dallas Mavericks,DAL,18,6333432,7916790
nba,2019,San Antonio Spurs,SA,19,6305720,7882150
nba,2019,Sacramento Kings,SAC,20,6301303,7876629
nba,2019,Los Angeles Lakers,LAL,21,6286190,7857738
nba,2019,Phoenix Suns,PHX,22,6262365,7827956
nba,2019,Boston Celtics,BOS,23,6245338,7806673
nba,2019,Utah Jazz,UTAH,24,6191232,7739041
nba,2019,New Orleans Pelicans,NO,25,6180056,7725070
nba,2019,Atlanta Hawks,ATL,26,5980159,7475199
nba,2019,Indiana Pacers,IND,27,5971367,7464208
nba,2019,Chicago Bulls,CHI,28,5958427,7448034
nba,2019,Memphis Grizzlies,MEM,29,5673155,7091444
nba,2019,New York Knicks,NY,30,5662249,7077811
mlb,2019,New York Yankees,NYY,1,6153759,7692199
mlb,2019,Boston Red Sox,BOS,2,5564455,6955569
mlb,2019,Chicago Cubs,CHC,3,5115629,6394536
mlb,2019,Houston Astros,HOU,4,5084841,6356051
mlb,2019,Philadelphia Phillies,PHI,5,4682528,5853160
mlb,2019,Los Angeles Angels,LAA,6,4166369,5207961
mlb,2019,St. Louis Cardinals,STL,7,4148306,5185383
mlb,2019,Washington Nationals,WAS,8,4144720,5180900
mlb,2019,New York Mets,NYM,9,4085983,5107479
mlb,2019,Los Angeles Dodgers,LAD,10,4035461,5044326
mlb,2019,San Francisco Giants,SF,11,3906440,4883050
mlb,2019,Atlanta Braves,ATL,12,3812891,4766113
mlb,2019,Colorado Rockies,COL,13,3757200,4696500
mlb,2019,Milwaukee Brewers,MIL,14,3131998,3914998
mlb,2019,Cleveland Indians,CLE,15,2919721,3649651
mlb,2019,Minnesota Twins,MIN,16,2910188,3637734
mlb,2019,Texas Rangers,TEX,17,2755434,3444293
mlb,2019,Seattle Mariners,SEA,18,2638382,3297977
mlb,2019,Detroit Tigers,DET,19,2499160,3123950
mlb,2019,Cincinnati Reds,CIN,20,2459403,3074254
mlb,2019,San Diego Padres,SD,21,2373096,2966369
mlb,2019,Chicago White Sox,CHW,22,2257048,2821310
mlb,2019,Oakland Athletics,OAK,23,2212529,2765661
mlb,2019,Arizona Diamondbacks,ARI,24,2023288,2529110
mlb,2019,Baltimore Orioles,BAL,25,1852334,2315417
mlb,2019,Kansas City Royals,KC,26,1785747,2232184
mlb,2019,Miami Marlins,MIA,27,1652869,2066086
mlb,2019,Tampa Bay Rays,TB,28,1580422,1975527
mlb,2019,Toronto Blue Jays,TOR,29,1541140,1926425
mlb,2019,Pittsburgh Pirates,PIT,30,1352612,1690764
epl,2019,Man City,MNC,1,6987500,8734375
epl,2019,Man Utd,MAN,2,6125600,7657000
epl,2019,Liverpool,LIV,3,5537600,6922000
epl,2019,Arsenal,ARS,4,4790240,5987800
epl,2019,Chelsea,CHE,5,4774000,5967500
epl,2019,Everton,EVE,6,4101760,5127200
epl,2019,Tottenham,TOT,7,3961043,4951304
epl,2019,Leicester,LEI,8,3352960,4191200
epl,2019,West Ham,WHU,9,3022240,3777800
epl,2019,Crystal Palace,CRY,10,2887500,3609375
epl,2019,Southampton,SOU,11,2299440,2874300
epl,2019,Wolves,WOL,12,2197565,2746957
epl,2019,Newcastle,NEW,13,2086240,2607800
epl,2019,Watford,WAT,14,2025111,2531389
epl,2019,Aston Villa,AVL,15,1965600,2457000
