,League,Year,Code,Team,Salary
0,epl,2014,BOU,AFC Bournemouth,6175000.0
1,epl,2014,ARS,Arsenal,117241499.0
2,epl,2014,AVL,Aston Villa,52897993.0
3,epl,2014,TEMP,Barnsley,0.0
4,epl,2014,BIR,Birmingham City,0.0
5,epl,2014,BOL,Bolton Wanderers,0.0
6,epl,2014,BRE,Brentford,0.0
7,epl,2014,BHA,Brighton & Hove Albion,1768000.0
8,epl,2014,TEMP,Bristol City,0.0
9,epl,2014,BUR,Burnley,2184000.0
10,epl,2014,TEMP,Burton Albion,0.0
11,epl,2014,CAR,Cardiff City,0.0
12,epl,2014,CHE,Chelsea,145627509.0
13,epl,2014,CRY,Crystal Palace,10192000.0
14,epl,2014,DER,Derby County,0.0
15,epl,2014,EVE,Everton,22459996.0
16,epl,2014,FUL,Fulham,0.0
17,epl,2014,HUD,Huddersfield Town,624000.0
18,epl,2014,HUL,Hull City,0.0
19,epl,2014,TEMP,Ipswich Town,0.0
20,epl,2014,LEE,Leeds United,0.0
21,epl,2014,LEI,Leicester City,5824000.0
22,epl,2014,LIV,Liverpool,28522000.0
23,epl,2014,TEMP,Luton Town,0.0
24,epl,2014,MNC,Manchester City,78520000.0
25,epl,2014,MAN,Manchester United,62140000.0
26,epl,2014,MID,Middlesbrough,0.0
27,epl,2014,TEMP,Millwall,0.0
28,epl,2014,NEW,Newcastle United,16900000.0
29,epl,2014,NOR,Norwich City,780000.0
30,epl,2014,NFO,Nottingham Forest,0.0
31,epl,2014,TEMP,Preston North End,0.0
32,epl,2014,QPR,Queens Park Rangers,0.0
33,epl,2014,REA,Reading,0.0
34,epl,2014,SHU,Sheffield United,3640000.0
35,epl,2014,TEMP,Sheffield Wednesday,30482.0
36,epl,2014,SOU,Southampton,4160000.0
37,epl,2014,STK,Stoke City,10088000.0
38,epl,2014,SUN,Sunderland,0.0
39,epl,2014,SWA,Swansea City,10712000.0
40,epl,2014,TOT,Tottenham Hotspur,10400000.0
41,epl,2014,WAT,Watford,780000.0
42,epl,2014,WBA,West Bromwich Albion,1560000.0
43,epl,2014,WHU,West Ham United,14976000.0
44,epl,2014,WGA,Wigan Athletic,0.0
45,epl,2014,WOL,Wolverhampton Wanderers,0.0
46,epl,2015,BOU,AFC Bournemouth,14032200.0
47,epl,2015,ARS,Arsenal,104172444.0
48,epl,2015,AVL,Aston Villa,28076073.0
49,epl,2015,TEMP,Barnsley,0.0
50,epl,2015,BIR,Birmingham City,0.0
51,epl,2015,BOL,Bolton Wanderers,0.0
52,epl,2015,BRE,Brentford,0.0
53,epl,2015,BHA,Brighton & Hove Albion,7644000.0
54,epl,2015,TEMP,Bristol City,0.0
55,epl,2015,BUR,Burnley,10020400.0
56,epl,2015,TEMP,Burton Albion,0.0
57,epl,2015,CAR,Cardiff City,286000.0
58,epl,2015,CHE,Chelsea,162088013.0
59,epl,2015,CRY,Crystal Palace,31564000.0
60,epl,2015,DER,Derby County,0.0
61,epl,2015,EVE,Everton,46769996.0
62,epl,2015,FUL,Fulham,0.0
63,epl,2015,HUD,Huddersfield Town,3016000.0
64,epl,2015,HUL,Hull City,0.0
65,epl,2015,TEMP,Ipswich Town,0.0
66,epl,2015,LEE,Leeds United,0.0
67,epl,2015,LEI,Leicester City,18642000.0
68,epl,2015,LIV,Liverpool,74672000.0
69,epl,2015,TEMP,Luton Town,0.0
70,epl,2015,MNC,Manchester City,107952000.0
71,epl,2015,MAN,Manchester United,95160000.0
72,epl,2015,MID,Middlesbrough,0.0
73,epl,2015,TEMP,Millwall,0.0
74,epl,2015,NEW,Newcastle United,30784000.0
75,epl,2015,NOR,Norwich City,0.0
76,epl,2015,NFO,Nottingham Forest,0.0
77,epl,2015,TEMP,Preston North End,0.0
78,epl,2015,QPR,Queens Park Rangers,0.0
79,epl,2015,REA,Reading,0.0
80,epl,2015,SHU,Sheffield United,3640000.0
