,League,Year,Code,Team,Salary
0,epl,2014,TEMP,Arsenal,117241499.0
1,epl,2014,TEMP,Aston Villa,52897993.0
2,epl,2014,TEMP,Chelsea,145627509.0
3,epl,2014,TEMP,Everton,22459996.0
4,epl,2014,TEMP,Liverpool,28522000.0
5,epl,2014,TEMP,Manchester City,78520000.0
6,epl,2014,TEMP,Manchester United,62140000.0
7,epl,2014,TEMP,Newcastle United,16900000.0
8,epl,2014,TEMP,Norwich City,780000.0
9,epl,2014,TEMP,Southampton,4160000.0
10,epl,2014,TEMP,Stoke City,10088000.0
11,epl,2014,TEMP,Swansea City,10712000.0
12,epl,2014,TEMP,Tottenham Hotspur,10400000.0
13,epl,2014,TEMP,West Bromwich Albion,1560000.0
14,epl,2014,TEMP,West Ham United,14976000.0
15,epl,2014,TEMP,Burnley,2184000.0
16,epl,2014,TEMP,AFC Bournemouth,6175000.0
17,epl,2014,TEMP,Crystal Palace,10192000.0
18,epl,2014,TEMP,Leicester City,5824000.0
19,epl,2014,TEMP,Watford,780000.0
20,epl,2014,TEMP,Brighton & Hove Albion,1768000.0
21,epl,2014,TEMP,Huddersfield Town,624000.0
22,epl,2014,TEMP,Sheffield United,3640000.0
23,epl,2014,TEMP,Sheffield Wednesday,30482.0
24,epl,2014,TEMP,Wolverhampton Wanderers,0.0
25,epl,2014,TEMP,Luton Town,0.0
26,epl,2014,TEMP,Fulham,0.0
27,epl,2014,TEMP,Queens Park Rangers,0.0
28,epl,2014,TEMP,Reading,0.0
29,epl,2014,TEMP,Sunderland,0.0
30,epl,2014,TEMP,Wigan Athletic,0.0
31,epl,2014,TEMP,Hull City,0.0
32,epl,2014,TEMP,Middlesbrough,0.0
33,epl,2014,TEMP,Barnsley,0.0
34,epl,2014,TEMP,Birmingham City,0.0
35,epl,2014,TEMP,Bolton Wanderers,0.0
36,epl,2014,TEMP,Brentford,0.0
37,epl,2014,TEMP,Bristol City,0.0
38,epl,2014,TEMP,Burton Albion,0.0
39,epl,2014,TEMP,Cardiff City,0.0
40,epl,2014,TEMP,Derby County,0.0
41,epl,2014,TEMP,Ipswich Town,0.0
42,epl,2014,TEMP,Leeds United,0.0
43,epl,2014,TEMP,Millwall,0.0
44,epl,2014,TEMP,Nottingham Forest,0.0
45,epl,2014,TEMP,Preston North End,0.0
0,epl,2015,TEMP,Arsenal,104172444.0
1,epl,2015,TEMP,Aston Villa,28076073.0
2,epl,2015,TEMP,Chelsea,162088013.0
3,epl,2015,TEMP,Everton,46769996.0
4,epl,2015,TEMP,Liverpool,74672000.0
5,epl,2015,TEMP,Manchester City,107952000.0
6,epl,2015,TEMP,Manchester United,95160000.0
7,epl,2015,TEMP,Newcastle United,30784000.0
8,epl,2015,TEMP,Norwich City,0.0
9,epl,2015,TEMP,Southampton,15444000.0
10,epl,2015,TEMP,Stoke City,32448000.0
11,epl,2015,TEMP,Swansea City,12792000.0
12,epl,2015,TEMP,Tottenham Hotspur,29016000.0
13,epl,2015,TEMP,West Bromwich Albion,6344000.0
14,epl,2015,TEMP,West Ham United,27352000.0
15,epl,2015,TEMP,Burnley,10020400.0
16,epl,2015,TEMP,AFC Bournemouth,14032200.0
17,epl,2015,TEMP,Crystal Palace,31564000.0
18,epl,2015,TEMP,Leicester City,18642000.0
19,epl,2015,TEMP,Watford,23972000.0
20,epl,2015,TEMP,Brighton & Hove Albion,7644000.0
21,epl,2015,TEMP,Huddersfield Town,3016000.0
22,epl,2015,TEMP,Cardiff City,286000.0
23,epl,2015,TEMP,Sheffield United,3640000.0
24,epl,2015,TEMP,Sheffield Wednesday,2600000.0
25,epl,2015,TEMP,Wolverhampton Wanderers,0.0
26,epl,2015,TEMP,Fulham,0.0
27,epl,2015,TEMP,Queens Park Rangers,0.0
28,epl,2015,TEMP,Reading,0.0
29,epl,2015,TEMP,Sunderland,0.0
30,epl,2015,TEMP,Wigan Athletic,0.0
31,epl,2015,TEMP,Hull City,0.0
32,epl,2015,TEMP,Middlesbrough,0.0
33,epl,2015,TEMP,Barnsley,0.0
34,epl,2015,TEMP,Birmingham City,0.0
35,epl,2015,TEMP,Bolton Wanderers,0.0
36,epl,2015,TEMP,Brentford,0.0
37,epl,2015,TEMP,Bristol City,0.0
38,epl,2015,TEMP,Burton Albion,0.0
