League,Year,Code,Team,Standing,Played,Wins,Losses,Draws,Points
epl,2013,MNC,Manchester City,1,38,27,6,5,86
epl,2013,LIV,Liverpool,2,38,26,6,6,84
epl,2013,CHE,Chelsea,3,38,25,6,7,82
epl,2013,ARS,Arsenal,4,38,24,7,7,79
epl,2013,EVE,Everton,5,38,21,8,9,72
epl,2013,TOT,Tottenham Hotspur,6,38,21,11,6,69
epl,2013,MAN,Manchester United,7,38,19,12,7,64
epl,2013,SOU,Southampton,8,38,15,12,11,56
epl,2013,STK,Stoke City,9,38,13,14,11,50
epl,2013,NEW,Newcastle United,10,38,15,19,4,49
epl,2013,CRY,Crystal Palace,11,38,13,19,6,45
epl,2013,SWA,Swansea City,12,38,11,18,9,42
epl,2013,WHU,West Ham United,13,38,11,20,7,40
epl,2013,SUN,Sunderland,14,38,10,20,8,38
epl,2013,AVL,Aston Villa,15,38,10,20,8,38
epl,2013,HUL,Hull City,16,38,10,21,7,37
epl,2013,WBA,West Bromwich Albion,17,38,7,16,15,36
epl,2013,NOR,Norwich City,18,38,8,21,9,33
epl,2013,FUL,Fulham,19,38,9,24,5,32
epl,2013,CAR,Cardiff City,20,38,7,22,9,30
epl,2014,CHE,Chelsea,1,38,26,3,9,87
epl,2014,MNC,Manchester City,2,38,24,7,7,79
epl,2014,ARS,Arsenal,3,38,22,7,9,75
epl,2014,MAN,Manchester United,4,38,20,8,10,70
epl,2014,TOT,Tottenham Hotspur,5,38,19,12,7,64
epl,2014,LIV,Liverpool,6,38,18,12,8,62
epl,2014,SOU,Southampton,7,38,18,14,6,60
epl,2014,SWA,Swansea City,8,38,16,14,8,56
epl,2014,STK,Stoke City,9,38,15,14,9,54
epl,2014,CRY,Crystal Palace,10,38,13,16,9,48
epl,2014,EVE,Everton,11,38,12,15,11,47
epl,2014,WHU,West Ham United,12,38,12,15,11,47
epl,2014,WBA,West Bromwich Albion,13,38,11,16,11,44
epl,2014,LEI,Leicester City,14,38,11,19,8,41
epl,2014,NEW,Newcastle United,15,38,10,19,9,39
epl,2014,SUN,Sunderland,16,38,7,14,17,38
epl,2014,AVL,Aston Villa,17,38,10,20,8,38
epl,2014,HUL,Hull City,18,38,8,19,11,35
epl,2014,BUR,Burnley,19,38,7,19,12,33
epl,2014,QPR,Queens Park Rangers,20,38,8,24,6,30
epl,2015,LEI,Leicester City,1,38,23,3,12,81
epl,2015,ARS,Arsenal,2,38,20,7,11,71
epl,2015,TOT,Tottenham Hotspur,3,38,19,6,13,70
epl,2015,MNC,Manchester City,4,38,19,10,9,66
epl,2015,MAN,Manchester United,5,38,19,10,9,66
epl,2015,SOU,Southampton,6,38,18,11,9,63
epl,2015,WHU,West Ham United,7,38,16,8,14,62
epl,2015,LIV,Liverpool,8,38,16,10,12,60
epl,2015,STK,Stoke City,9,38,14,15,9,51
epl,2015,CHE,Chelsea,10,38,12,12,14,50
epl,2015,EVE,Everton,11,38,11,13,14,47
epl,2015,SWA,Swansea City,12,38,12,15,11,47
epl,2015,WAT,Watford,13,38,12,17,9,45
epl,2015,WBA,West Bromwich Albion,14,38,10,15,13,43
epl,2015,CRY,Crystal Palace,15,38,11,18,9,42
epl,2015,BOU,AFC Bournemouth,16,38,11,18,9,42
epl,2015,SUN,Sunderland,17,38,9,17,12,39
epl,2015,NEW,Newcastle United,18,38,9,19,10,37
epl,2015,NOR,Norwich City,19,38,9,22,7,34
epl,2015,AVL,Aston Villa,20,38,3,27,8,17
epl,2016,CHE,Chelsea,1,38,30,5,3,93
epl,2016,TOT,Tottenham Hotspur,2,38,26,4,8,86
epl,2016,MNC,Manchester City,3,38,23,6,9,78
epl,2016,LIV,Liverpool,4,38,22,6,10,76
epl,2016,ARS,Arsenal,5,38,23,9,6,75
epl,2016,MAN,Manchester United,6,38,18,5,15,69
epl,2016,EVE,Everton,7,38,17,11,10,61
epl,2016,SOU,Southampton,8,38,12,16,10,46
epl,2016,BOU,AFC Bournemouth,9,38,12,16,10,46
epl,2016,WBA,West Bromwich Albion,10,38,12,17,9,45
epl,2016,WHU,West Ham United,11,38,12,17,9,45
epl,2016,LEI,Leicester City,12,38,12,18,8,44
epl,2016,STK,Stoke City,13,38,11,16,11,44
epl,2016,CRY,Crystal Palace,14,38,12,21,5,41
epl,2016,SWA,Swansea City,15,38,12,21,5,41
epl,2016,BUR,Burnley,16,38,11,20,7,40
epl,2016,WAT,Watford,17,38,11,20,7,40
epl,2016,HUL,Hull City,18,38,9,22,7,34
epl,2016,MID,Middlesbrough,19,38,5,20,13,28
epl,2016,SUN,Sunderland,20,38,6,26,6,24
epl,2017,MNC,Manchester City,1,38,32,2,4,100
epl,2017,MAN,Manchester United,2,38,25,7,6,81
epl,2017,TOT,Tottenham Hotspur,3,38,23,7,8,77
epl,2017,LIV,Liverpool,4,38,21,5,12,75
epl,2017,CHE,Chelsea,5,38,21,10,7,70
epl,2017,ARS,Arsenal,6,38,19,13,6,63
epl,2017,BUR,Burnley,7,38,14,12,12,54
epl,2017,EVE,Everton,8,38,13,15,10,49
epl,2017,LEI,Leicester City,9,38,12,15,11,47
epl,2017,NEW,Newcastle United,10,38,12,18,8,44
epl,2017,CRY,Crystal Palace,11,38,11,16,11,44
epl,2017,BOU,AFC Bournemouth,12,38,11,16,11,44
epl,2017,WHU,West Ham United,13,38,10,16,12,42
epl,2017,WAT,Watford,14,38,11,19,8,41
epl,2017,BHA,Brighton & Hove Albion,15,38,9,16,13,40
epl,2017,HUD,Huddersfield Town,16,38,9,19,10,37
epl,2017,SOU,Southampton,17,38,7,16,15,36
epl,2017,SWA,Swansea City,18,38,8,21,9,33
epl,2017,STK,Stoke City,19,38,7,19,12,33
epl,2017,WBA,West Bromwich Albion,20,38,6,19,13,31
epl,2018,MNC,Manchester City,1,38,32,4,2,98
epl,2018,LIV,Liverpool,2,38,30,1,7,97
epl,2018,CHE,Chelsea,3,38,21,8,9,72
epl,2018,TOT,Tottenham Hotspur,4,38,23,13,2,71
epl,2018,ARS,Arsenal,5,38,21,10,7,70
epl,2018,MAN,Manchester United,6,38,19,10,9,66
epl,2018,WOL,Wolverhampton Wanderers,7,38,16,13,9,57
epl,2018,EVE,Everton,8,38,15,14,9,54
epl,2018,LEI,Leicester City,9,38,15,16,7,52
epl,2018,WHU,West Ham United,10,38,15,16,7,52
epl,2018,WAT,Watford,11,38,14,16,8,50
epl,2018,CRY,Crystal Palace,12,38,14,17,7,49
epl,2018,NEW,Newcastle United,13,38,12,17,9,45
epl,2018,BOU,AFC Bournemouth,14,38,13,19,6,45
epl,2018,BUR,Burnley,15,38,11,20,7,40
epl,2018,SOU,Southampton,16,38,9,17,12,39
epl,2018,BHA,Brighton & Hove Albion,17,38,9,20,9,36
epl,2018,CAR,Cardiff City,18,38,10,24,4,34
epl,2018,FUL,Fulham,19,38,7,26,5,26
epl,2018,HUD,Huddersfield Town,20,38,3,28,7,16
epl,2019,LIV,Liverpool,1,38,32,3,3,99
epl,2019,MNC,Manchester City,2,38,26,9,3,81
epl,2019,MAN,Manchester United,3,38,18,8,12,66
